x y z Bx By Bz
-7.5 -7.5 -7.5 -6.39436e-10 8.74353e-09 8.79864e-09
-7.5 -7.5 -6.78571 -1.38344e-10 1.02756e-08 9.35585e-09
-7.5 -7.5 -6.07143 4.83205e-10 1.20048e-08 9.78076e-09
-7.5 -7.5 -5.35714 1.22496e-09 1.39138e-08 1.00046e-08
-7.5 -7.5 -4.64286 2.07373e-09 1.59617e-08 9.95057e-09
-7.5 -7.5 -3.92857 2.99917e-09 1.8079e-08 9.54246e-09
-7.5 -7.5 -3.21429 3.95121e-09 2.01649e-08 8.71719e-09
-7.5 -7.5 -2.5 4.86115e-09 2.20914e-08 7.441e-09
-7.5 -7.5 -1.78571 5.64792e-09 2.3715e-08 5.72521e-09
-7.5 -7.5 -1.07143 6.22982e-09 2.48959e-08 3.6364e-09
-7.5 -7.5 -0.357143 6.53977e-09 2.55217e-08 1.29569e-09
-7.5 -7.5 0.357143 6.53977e-09 2.55293e-08 -1.13531e-09
-7.5 -7.5 1.07143 6.22982e-09 2.49182e-08 -3.4799e-09
-7.5 -7.5 1.78571 5.64792e-09 2.37505e-08 -5.5761e-09
-7.5 -7.5 2.5 4.86115e-09 2.21377e-08 -7.30205e-09
-7.5 -7.5 3.21429 3.95121e-09 2.02193e-08 -8.59032e-09
-7.5 -7.5 3.92857 2.99917e-09 1.81386e-08 -9.42868e-09
-7.5 -7.5 4.64286 2.07373e-09 1.60239e-08 -9.85008e-09
-7.5 -7.5 5.35714 1.22496e-09 1.39764e-08 -9.91695e-09
-7.5 -7.5 6.07143 4.83205e-10 1.2066e-08 -9.70514e-09
-7.5 -7.5 6.78571 -1.38344e-10 1.03342e-08 -9.29111e-09
-7.5 -7.5 7.5 -6.39436e-10 8.79864e-09 -8.74353e-09
-7.5 -6.78571 -7.5 -1.38344e-10 9.29111e-09 1.03342e-08
-7.5 -6.78571 -6.78571 5.64926e-10 1.10511e-08 1.11207e-08
-7.5 -6.78571 -6.07143 1.44581e-09 1.30731e-08 1.17711e-08
-7.5 -6.78571 -5.35714 2.51024e-09 1.53462e-08 1.21939e-08
-7.5 -6.78571 -4.64286 3.74558e-09 1.78297e-08 1.22817e-08
-7.5 -6.78571 -3.92857 5.11267e-09 2.04429e-08 1.19213e-08
-7.5 -6.78571 -3.21429 6.53977e-09 2.30601e-08 1.1012e-08
-7.5 -6.78571 -2.5 7.92228e-09 2.55129e-08 9.49063e-09
-7.5 -6.78571 -1.78571 9.13145e-09 2.76053e-08 7.35735e-09
-7.5 -6.78571 -1.07143 1.00336e-08 2.9141e-08 4.69508e-09
-7.5 -6.78571 -0.357143 1.05168e-08 2.99593e-08 1.6712e-09
-7.5 -6.78571 0.357143 1.05168e-08 2.99693e-08 -1.48293e-09
-7.5 -6.78571 1.07143 1.00336e-08 2.91699e-08 -4.51189e-09
-7.5 -6.78571 1.78571 9.13145e-09 2.7651e-08 -7.18376e-09
-7.5 -6.78571 2.5 7.92228e-09 2.55721e-08 -9.33015e-09
-7.5 -6.78571 3.21429 6.53977e-09 2.31288e-08 -1.08669e-08
-7.5 -6.78571 3.92857 5.11267e-09 2.05174e-08 -1.17926e-08
-7.5 -6.78571 4.64286 3.74558e-09 1.79065e-08 -1.21694e-08
